Document ID,Publisher,Cited-by-count,Authors,Public name,Year,Doi,Affiliations,Bibliography Count,Subject Area
10000,IEEE,7,R. Bisiani / F. Lecouat / V. Ambriola,IEEE Software,1988,10.1109/52.10000,"Carnegie Mellon University, USA / Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA / Carnegie Mellon University, USA",12,ENG
10001,IEEE,18,J.J.-P. Tsai / J.C. Ridge,IEEE Software,1988,10.1109/52.10001,"University of Illinois, Chicago, USA / Motorola Communications",9,ENG
10002,IEEE,42,S. Fickas / P. Nagarajan,IEEE Software,1988,10.1109/52.10002,"University of Oregon, USA / Apple Computer, Inc.",13,ENG
10003,IEEE,4,K.W. Miller / L.J. Morell / F. Stevens,IEEE Software,1988,10.1109/52.10003,"College of William and Mary, USA / College of William and Mary, USA / College of William and Mary, USA",10,ENG
10004,IEEE,6,R.D. Cameron,IEEE Software,2002,10.1109/52.10004,"Simon Fraser University, Canada",5,ENG
10005,IEEE,3,G.H. Sockut / A. Malhotra,IEEE Software,2002,10.1109/52.10005,"IBM Thomas J. Watson Research Center, USA / IBM Thomas J. Watson Research Center, USA",12,ENG
10008,IEEE,3,K. Potosnak,IEEE Software,1988,10.1109/52.10008,K. Potosnak,0,ENG
10016,IEEE,18,Luqi,IEEE Expert,2002,10.1109/64.10016,"Naval Postgraduate School, USA",10,ENG
10017,IEEE,30,A.J. Czuchry / D.R. Harris,IEEE Expert,1988,10.1109/64.10017,"Sanders Associates, Inc., USA / Sanders Associates, Inc., USA",10,ENG
10018,IEEE,2,E. Kant,IEEE Expert,2002,10.1109/64.10018,"Schlumburger-Doll Research, Ridgefield",10,ENG
10020,IEEE,9,L.M.L. Delcambre,IEEE Expert,2002,10.1109/64.10020,"Center for Advanced Computer Studies, The University of Southwestern Louisiana's Center for Advanced Computer Studies, Lafayette, LA",18,ENG
10021,IEEE,9,Yim Yung Leung / Dik Lun Lee,IEEE Expert,1988,10.1109/64.10021,"Ohio State Uinversity, USA / Ohio State Uinversity, USA",30,ENG
